qed_sa_scale_cord,qed_sa_scale_categ,mol_stable,atm_stable,recon_success,eval_success,complete,JSD_6-6|1,JSD_6-6|2,JSD_6-6|4,JSD_6-7|1,JSD_6-7|2,JSD_6-7|4,JSD_6-8|1,JSD_6-8|2,JSD_All_12A,JSD_CC_2A,atom_type_js,n_recon,n_complete,n_eval,QED_mean,QED_med,SA_mean,SA_med,Vina_score_mean,Vina_score_med,Vina_min_mean,Vina_min_med
0.5,-5.0,0.1700,0.8994,1.0000,0.9600,0.9600,0.4387,0.3265,0.2881,0.3458,0.4623,0.3394,0.4313,0.4038,0.0716,0.3055,0.0811,100,96,96,0.5222,0.5808,0.5835,0.5800,-6.7011,-6.5180,-7.2036,-7.0735
0.5,-10.0,0.1800,0.8876,0.9900,0.9300,0.9300,0.4513,0.3293,0.3413,0.3752,0.4710,0.3934,0.4906,0.4132,0.0771,0.3153,0.0816,99,93,93,0.5273,0.5711,0.5753,0.5700,-6.8840,-6.8600,-7.3521,-7.3900
0.5,-20.0,0.2100,0.9013,0.9900,0.9400,0.9400,0.4413,0.2943,0.2598,0.3052,0.4225,0.3042,0.4542,0.4014,0.0763,0.2931,0.0818,99,94,94,0.5294,0.5473,0.5906,0.5900,-6.6401,-6.5140,-7.1923,-7.1130
0.5,-50.0,0.2100,0.8914,0.9900,0.9500,0.9500,0.4565,0.2962,0.2784,0.3854,0.4407,0.4486,0.4540,0.4222,0.0706,0.3005,0.0831,99,95,95,0.5350,0.5277,0.5857,0.5800,-6.9278,-6.7620,-7.4587,-7.2510
0.5,-100.0,0.1400,0.8841,1.0000,0.9300,0.9300,0.4514,0.3143,0.3166,0.3690,0.4550,0.3898,0.5033,0.4149,0.0733,0.3029,0.0947,100,93,93,0.5262,0.5361,0.5822,0.5800,-6.9727,-6.9090,-7.4372,-7.3760
0.5,-200.0,0.2300,0.8845,1.0000,0.9700,0.9800,0.4484,0.3136,0.3095,0.3756,0.4537,0.4857,0.4609,0.3794,0.0714,0.3011,0.0932,100,98,97,0.5250,0.5780,0.5794,0.5700,-6.7047,-6.4790,-7.2331,-7.0550
1.0,0.0,0.2100,0.9055,1.0000,0.9400,0.9400,0.4440,0.3170,0.3144,0.3337,0.5050,0.3022,0.4625,0.4142,0.0713,0.3093,0.0795,100,94,94,0.5133,0.5387,0.5937,0.6000,-6.6624,-6.5530,-7.2047,-7.1540
1.0,-0.1,0.2300,0.9070,1.0000,0.9400,0.9400,0.4421,0.3133,0.3150,0.3285,0.4677,0.3215,0.4703,0.4254,0.0711,0.3097,0.0808,100,94,94,0.5201,0.5545,0.5883,0.5950,-6.6635,-6.6080,-7.2226,-7.2180
1.0,-1.0,0.2000,0.9024,1.0000,0.9400,0.9400,0.4473,0.3064,0.3148,0.3487,0.4472,0.3227,0.4708,0.3918,0.0737,0.3066,0.0821,100,94,94,0.4984,0.5098,0.5856,0.5800,-6.6387,-6.6620,-7.1242,-7.1785
1.0,-5.0,0.2400,0.8994,0.9900,0.9500,0.9500,0.4430,0.3086,0.2922,0.3322,0.4953,0.3354,0.4468,0.4518,0.0732,0.2971,0.0797,99,95,95,0.5212,0.5599,0.5809,0.5800,-6.6675,-6.5970,-7.1291,-7.0230
1.0,-10.0,0.1500,0.8891,0.9900,0.9500,0.9600,0.4475,0.3224,0.3031,0.3506,0.4160,0.3842,0.4144,0.4188,0.0773,0.3044,0.0848,99,96,95,0.5195,0.5600,0.5735,0.5700,-6.6589,-6.7120,-7.1810,-7.1910
1.0,-20.0,0.2100,0.8952,1.0000,0.9700,0.9700,0.4418,0.2889,0.2980,0.3319,0.3848,0.3815,0.4722,0.4351,0.0724,0.3006,0.0832,100,97,97,0.5278,0.5432,0.5981,0.5900,-6.8212,-6.5470,-7.3774,-7.1130
1.0,-50.0,0.2300,0.8914,0.9900,0.9600,0.9600,0.4543,0.3039,0.3183,0.3525,0.4527,0.4612,0.4679,0.4613,0.0741,0.3100,0.0855,99,96,96,0.5363,0.5469,0.5861,0.5800,-6.8561,-6.5780,-7.3521,-6.9645
1.0,-100.0,0.2300,0.9002,1.0000,0.9300,0.9300,0.4649,0.2894,0.3012,0.3704,0.4805,0.4873,0.4285,0.4705,0.0703,0.3085,0.0869,100,93,93,0.5477,0.5538,0.5829,0.5800,-6.7350,-6.7170,-7.2120,-7.0990
1.0,-200.0,0.1800,0.8807,1.0000,0.9500,0.9500,0.4481,0.3061,0.3287,0.3525,0.4266,0.5021,0.4775,0.4124,0.0728,0.3027,0.0903,100,95,95,0.5235,0.5255,0.5940,0.5600,-6.6458,-6.4760,-7.0772,-6.9680
2.0,0.0,0.2200,0.8971,0.9900,0.9400,0.9400,0.4507,0.2790,0.3121,0.2962,0.4081,0.3471,0.4684,0.4605,0.0735,0.3148,0.0718,99,94,94,0.4807,0.4781,0.5786,0.5750,-6.6624,-6.6900,-7.1705,-7.0710
2.0,-0.1,0.2200,0.9013,1.0000,0.9500,0.9500,0.4454,0.2734,0.3064,0.3139,0.4456,0.3950,0.4587,0.4526,0.0734,0.3100,0.0730,100,95,95,0.5052,0.5169,0.5812,0.5800,-6.7194,-6.6610,-7.2790,-7.1550
2.0,-1.0,0.2100,0.8819,0.9900,0.9200,0.9200,0.4438,0.3245,0.3348,0.3097,0.4464,0.3670,0.4656,0.4056,0.0751,0.3186,0.0711,99,92,92,0.4872,0.5028,0.5726,0.5700,-6.5806,-6.5790,-7.1720,-7.1070
2.0,-5.0,0.1700,0.8883,0.9900,0.9300,0.9400,0.4519,0.3003,0.3299,0.3342,0.4059,0.3502,0.4610,0.4219,0.0747,0.3101,0.0772,99,94,93,0.5239,0.5455,0.5692,0.5600,-6.7997,-6.8230,-7.3368,-7.1900
2.0,-10.0,0.1400,0.8849,1.0000,0.9300,0.9400,0.4588,0.3029,0.3168,0.3585,0.3968,0.3557,0.4644,0.3704,0.0769,0.2977,0.0859,100,94,93,0.5285,0.5364,0.5703,0.5700,-6.6881,-6.5330,-7.1946,-7.0660
2.0,-20.0,0.1500,0.8807,1.0000,0.9800,0.9800,0.4450,0.2954,0.2678,0.3432,0.4328,0.4196,0.5030,0.4206,0.0725,0.3021,0.0877,100,98,98,0.5102,0.5109,0.5680,0.5700,-6.8499,-6.7845,-7.3546,-7.1780
2.0,-50.0,0.2400,0.8811,1.0000,0.9400,0.9400,0.4521,0.3421,0.3064,0.4145,0.4696,0.4321,0.4776,0.4681,0.0762,0.3227,0.0871,100,94,94,0.5248,0.5462,0.5964,0.5900,-6.8017,-6.8210,-7.3164,-7.2465
2.0,-100.0,0.2100,0.8876,1.0000,0.9500,0.9500,0.4567,0.3397,0.3067,0.3540,0.4248,0.3654,0.4584,0.4341,0.0732,0.3097,0.0858,100,95,95,0.5030,0.5046,0.5858,0.5800,-6.6697,-6.4830,-7.1977,-7.0550
2.0,-200.0,0.2000,0.8933,0.9900,0.9700,0.9700,0.4511,0.3246,0.3392,0.3175,0.5127,0.4310,0.4539,0.4228,0.0723,0.3164,0.0975,99,97,97,0.5360,0.5471,0.5944,0.5900,-6.6602,-6.3370,-7.2035,-7.0390
5.0,0.0,0.2000,0.9059,0.9900,0.9400,0.9400,0.4477,0.3069,0.3297,0.3352,0.4381,0.3529,0.4214,0.4182,0.0707,0.3011,0.0780,99,94,94,0.5074,0.5099,0.5723,0.5700,-6.7711,-6.6025,-7.2537,-7.0510
5.0,-0.1,0.2300,0.9097,0.9900,0.9500,0.9500,0.4417,0.3077,0.3119,0.3122,0.3693,0.3864,0.4248,0.4313,0.0674,0.2944,0.0779,99,95,95,0.5107,0.5179,0.5689,0.5700,-6.7593,-6.5500,-7.2538,-7.0070
5.0,-1.0,0.1900,0.9051,1.0000,0.9600,0.9600,0.4416,0.3145,0.3289,0.3352,0.3647,0.4052,0.4738,0.4545,0.0683,0.2972,0.0807,100,96,96,0.5140,0.5331,0.5665,0.5550,-6.7747,-6.7420,-7.2547,-7.2250
5.0,-5.0,0.2000,0.8838,1.0000,0.9400,0.9400,0.4451,0.3211,0.2981,0.3675,0.4059,0.3741,0.4727,0.4377,0.0795,0.3124,0.0947,100,94,94,0.4759,0.4983,0.5843,0.5800,-6.6630,-6.6405,-7.1349,-6.8670
5.0,-10.0,0.2100,0.8902,1.0000,0.9200,0.9200,0.4397,0.2906,0.3102,0.3538,0.4198,0.3746,0.5005,0.4327,0.0746,0.3031,0.0772,100,92,92,0.4848,0.5021,0.5750,0.5700,-6.7296,-6.7965,-7.2421,-7.0970
5.0,-20.0,0.1500,0.8861,1.0000,0.9700,0.9700,0.4495,0.2799,0.3054,0.3465,0.4359,0.3675,0.4258,0.3999,0.0697,0.3001,0.0850,100,97,97,0.5098,0.5046,0.5826,0.5800,-6.8116,-6.7580,-7.3777,-7.1600
5.0,-50.0,0.2200,0.8830,0.9900,0.9700,0.9700,0.4489,0.3459,0.2803,0.3560,0.3861,0.4537,0.5203,0.3871,0.0775,0.3128,0.0881,99,97,97,0.5038,0.5080,0.6051,0.6100,-6.8570,-6.5290,-7.4052,-7.2380
5.0,-100.0,0.1800,0.8960,1.0000,0.9200,0.9200,0.4442,0.2963,0.2930,0.3756,0.4828,0.4575,0.4484,0.4267,0.0663,0.2942,0.0901,100,92,92,0.5214,0.5331,0.5927,0.6000,-6.8584,-6.8265,-7.3430,-7.1700
5.0,-200.0,0.2500,0.8819,0.9900,0.9400,0.9400,0.4457,0.2777,0.3225,0.3729,0.4778,0.4323,0.4902,0.4317,0.0752,0.3083,0.0919,99,94,94,0.5521,0.5752,0.5910,0.6000,-6.6685,-6.4255,-7.1978,-6.8435
10.0,0.0,0.1900,0.8826,1.0000,0.9300,0.9300,0.4227,0.3053,0.3221,0.3123,0.3713,0.3934,0.4061,0.4432,0.0785,0.2961,0.0754,100,93,93,0.4836,0.4978,0.5658,0.5700,-6.8521,-6.8060,-7.3358,-7.1050
10.0,-0.1,0.1800,0.8822,1.0000,0.9400,0.9400,0.4156,0.3020,0.3341,0.3316,0.3846,0.4076,0.4005,0.4404,0.0798,0.2931,0.0728,100,94,94,0.4801,0.4971,0.5645,0.5700,-6.8265,-6.7575,-7.3577,-7.1500
10.0,-1.0,0.2000,0.8918,0.9900,0.9500,0.9500,0.4419,0.3326,0.3295,0.3082,0.3825,0.4266,0.4526,0.3970,0.0737,0.3050,0.0764,99,95,95,0.4893,0.4892,0.5556,0.5700,-6.8102,-6.8280,-7.3532,-7.2010
10.0,-5.0,0.2200,0.8891,1.0000,0.8800,0.8900,0.4306,0.3243,0.2889,0.3751,0.4131,0.3040,0.4534,0.3944,0.0793,0.2982,0.0872,100,89,88,0.5013,0.5067,0.5644,0.5550,-6.7800,-6.5080,-7.1904,-6.9000
10.0,-10.0,0.1600,0.8899,1.0000,0.9500,0.9500,0.4449,0.2855,0.3426,0.3171,0.3563,0.3194,0.4534,0.4770,0.0739,0.3077,0.0844,100,95,95,0.5142,0.5485,0.5631,0.5700,-6.8905,-6.8640,-7.3747,-7.1700
10.0,-20.0,0.1600,0.8838,1.0000,0.9600,0.9600,0.4567,0.3099,0.2853,0.3332,0.4214,0.3923,0.5008,0.4243,0.0759,0.3106,0.0875,100,96,96,0.5177,0.5241,0.5766,0.5700,-6.8834,-6.5905,-7.4400,-7.1660
10.0,-50.0,0.1900,0.8876,0.9900,0.9400,0.9400,0.4452,0.2948,0.3094,0.3749,0.5113,0.3427,0.4703,0.4406,0.0747,0.3065,0.0879,99,94,94,0.5498,0.5820,0.5933,0.5850,-6.8603,-6.7500,-7.3145,-7.0765
10.0,-100.0,0.1800,0.8784,0.9900,0.9300,0.9300,0.4437,0.3164,0.3159,0.3497,0.4523,0.3936,0.4862,0.3809,0.0766,0.3138,0.0824,99,93,93,0.5268,0.5612,0.6041,0.6100,-6.6734,-6.2830,-7.0997,-6.8440
10.0,-200.0,0.2300,0.8941,0.9800,0.9600,0.9600,0.4429,0.3386,0.2986,0.3352,0.4221,0.4464,0.4657,0.3630,0.0748,0.3151,0.0953,98,96,96,0.5448,0.5434,0.5967,0.5900,-6.6632,-6.4585,-7.1179,-6.8690
-0.1,0.0,0.2600,0.8910,1.0000,0.9400,0.9400,0.4425,0.3038,0.3140,0.3586,0.4169,0.4102,0.4323,0.4196,0.0725,0.3044,0.0802,100,94,94,0.5179,0.5173,0.5711,0.5650,-6.7079,-6.6920,-7.2291,-7.0175
-0.1,-0.1,0.2300,0.8834,1.0000,0.9400,0.9400,0.4524,0.3026,0.3311,0.3679,0.4338,0.3643,0.4369,0.4341,0.0729,0.3096,0.0806,100,94,94,0.5150,0.5268,0.5781,0.5800,-6.6053,-6.6585,-7.1301,-6.9540
-0.1,-1.0,0.2600,0.8971,1.0000,0.9400,0.9400,0.4602,0.3077,0.3118,0.3749,0.4124,0.3922,0.4682,0.4650,0.0741,0.3159,0.0820,100,94,94,0.5200,0.5371,0.5735,0.5700,-6.4659,-6.6155,-7.0082,-6.8595
-0.1,-5.0,0.2400,0.8887,1.0000,0.9600,0.9600,0.4492,0.3248,0.3053,0.3687,0.4423,0.3871,0.4482,0.4057,0.0739,0.3064,0.0764,100,96,96,0.5109,0.5370,0.5865,0.5900,-6.6518,-6.5655,-7.1435,-6.9765
-0.1,-10.0,0.1400,0.8933,1.0000,0.9400,0.9400,0.4473,0.3089,0.3529,0.3475,0.4488,0.3827,0.4403,0.4344,0.0756,0.3147,0.0759,100,94,94,0.5096,0.5274,0.5702,0.5700,-6.6756,-6.5460,-7.1863,-7.0755
-0.1,-20.0,0.2000,0.8979,0.9900,0.9800,0.9800,0.4373,0.2977,0.2797,0.3490,0.4237,0.4044,0.4571,0.4268,0.0739,0.2969,0.0833,99,98,98,0.5140,0.5143,0.5871,0.5850,-6.7117,-6.5895,-7.2913,-7.1705
-0.1,-50.0,0.2300,0.8921,1.0000,0.9700,0.9800,0.4606,0.3103,0.2956,0.3424,0.4755,0.4964,0.4712,0.4302,0.0731,0.3158,0.0863,100,98,97,0.5437,0.5374,0.5977,0.6100,-6.8213,-6.5890,-7.3762,-7.2430
-0.1,-100.0,0.1900,0.8861,1.0000,0.9600,0.9600,0.4698,0.3233,0.3276,0.3436,0.5040,0.3285,0.4403,0.4018,0.0762,0.3188,0.0841,100,96,96,0.5005,0.4863,0.5779,0.5650,-6.8680,-6.4780,-7.3902,-6.9825
-0.1,-200.0,0.2300,0.8887,1.0000,0.9500,0.9500,0.4606,0.3041,0.3262,0.3659,0.5193,0.5072,0.4568,0.4261,0.0701,0.3198,0.1011,100,95,95,0.5365,0.5396,0.5836,0.5800,-6.7193,-6.5520,-7.2875,-7.0610
